utr_number,settled_amount,settlement_date,narration
UTR9427286984,42228.16,2026-08-11,NEFT CR RAZORPAY pay_OYGKMFABOB0060 SETTLEMENT
UTR3948304467,23331.7,2026-08-20,NEFT CR RAZORPAY SETTLEMENT TAYLOR
UTR0335137582,35550.28,2026-08-15,NEFT CR RAZORPAY pay_ICZIFEJDUW0019 SETTLEMENT
UTR0471403498,44068.53,2026-08-27,NEFT CR RAZORPAY pay_VOTTJHKJNV0056 SETTLEMENT
UTR5961707240,27370.18,2026-08-18,NEFT CR RAZORPAY pay_JHMGOLNQDJ0011 SETTLEMENT
UTR2809107457,44068.53,2026-08-28,NEFT CR RAZORPAY pay_VOTTJHKJNV0056 SETTLEMENT DUP
UTR6007226548,25358.37,2026-08-20,NEFT CR RAZORPAY SETTLEMENT DANA
UTR1952757945,38244.64,2026-08-17,NEFT CR RAZORPAY pay_TTGMXSNFFR0013 SETTLEMENT
UTR6053359051,29583.02,2026-08-23,NEFT CR RAZORPAY pay_FGPJPRQKIJ0047 SETTLEMENT
UTR5548814791,5213.14,2026-08-17,NEFT CR UNKNOWN SOURCE
UTR1589092693,40525.53,2026-08-08,NEFT CR RAZORPAY pay_AUUGDXUACC0035 SETTLEMENT
UTR5168144315,32542.95,2026-08-11,NEFT CR RAZORPAY pay_HEFPUURDNF0002 SETTLEMENT
UTR2991944132,4054.51,2026-08-14,NEFT CR RAZORPAY SETTLEMENT RYAN
UTR4906245240,1638.82,2026-08-27,NEFT CR RAZORPAY pay_ZXJQMPJKTH0003 SETTLEMENT
UTR3459821294,39821.63,2026-08-23,NEFT CR RAZORPAY pay_VFHWECVXIH0058 SETTLEMENT
UTR8600009579,26646.53,2026-08-12,NEFT CR RAZORPAY pay_XSXXHOTESM0004 SETTLEMENT
UTR6971470068,7261.01,2026-08-15,NEFT CR RAZORPAY pay_PCOVLOXAWD0026 SETTLEMENT
UTR9899728073,16980.91,2026-08-15,NEFT CR RAZORPAY pay_GRUFMDWIOU0027 SETTLEMENT
UTR4676333581,29144.69,2026-08-17,NEFT CR RAZORPAY pay_NNUQUQXMQS0050 SETTLEMENT
UTR7992591409,921.45,2026-08-16,NEFT CR UNKNOWN SOURCE
UTR1114702882,25644.95,2026-08-11,NEFT CR RAZORPAY pay_OPDXOEAUIA0062 SETTLEMENT
UTR1584385762,19678.5,2026-08-12,NEFT CR RAZORPAY pay_KODQPDJIID0055 SETTLEMENT
UTR6140100060,19311.63,2026-08-15,NEFT CR RAZORPAY pay_KENUTJUZZT0030 SETTLEMENT
UTR0868941569,41997.12,2026-08-22,NEFT CR RAZORPAY SETTLEMENT WILLIAM
UTR6681667960,37208.27,2026-08-26,NEFT CR RAZORPAY pay_LFTTKONORG0018 SETTLEMENT
UTR8897949910,29635.53,2026-08-25,NEFT CR RAZORPAY pay_IDKSCAGIRI0015 SETTLEMENT
UTR6386350412,12568.34,2026-08-27,NEFT CR RAZORPAY SETTLEMENT PHILIP
UTR2219934290,40692.27,2026-08-27,NEFT CR RAZORPAY pay_GFIPMJVBBZ0010 SETTLEMENT
UTR5041190017,3353.88,2026-08-20,NEFT CR RAZORPAY SETTLEMENT MRS.
UTR3486002553,4727.43,2026-08-16,NEFT CR RAZORPAY pay_NWSSCVVIZL0008 SETTLEMENT
UTR1149777602,37156.41,2026-08-11,NEFT CR RAZORPAY pay_VSMXVUSUBR0033 SETTLEMENT
UTR8660084549,3358.4,2026-08-26,NEFT CR RAZORPAY pay_YDWMFESGGO0045 SETTLEMENT
UTR8074325019,22198.15,2026-08-25,NEFT CR RAZORPAY SETTLEMENT ANDREA
UTR5811298498,7538.57,2026-08-13,NEFT CR RAZORPAY pay_PLSWJOKWTZ0057 SETTLEMENT
UTR4875038359,11875.48,2026-08-15,NEFT CR RAZORPAY pay_XUNRRSFWEO0059 SETTLEMENT
UTR0471151728,5875.61,2026-08-12,NEFT CR RAZORPAY pay_NNNHSLTCFA0039 SETTLEMENT
UTR0979504462,7149.21,2026-08-11,NEFT CR RAZORPAY pay_XKICURNMCX0064 SETTLEMENT
UTR2695127960,11869.05,2026-08-08,NEFT CR RAZORPAY pay_XRLVLAFDUK0040 SETTLEMENT
UTR3071179337,38128.56,2026-08-28,NEFT CR RAZORPAY pay_VOCXENERMQ0051 SETTLEMENT
UTR9582308000,15166.69,2026-08-24,NEFT CR RAZORPAY pay_JISHEQHFCY0007 SETTLEMENT
UTR9371775139,5431.77,2026-08-17,NEFT CR UNKNOWN SOURCE
UTR1072281175,37944.31,2026-08-26,NEFT CR RAZORPAY pay_OYBZGLOADT0046 SETTLEMENT
UTR6053485493,8586.61,2026-08-13,NEFT CR RAZORPAY pay_HKUVNQKXYP0053 SETTLEMENT
UTR4258483810,27895.58,2026-08-27,NEFT CR RAZORPAY SETTLEMENT GERALD
UTR6456867233,31001.6,2026-08-16,NEFT CR RAZORPAY pay_VGKIVSVDFO0005 SETTLEMENT
UTR1939804705,7033.62,2026-08-18,NEFT CR RAZORPAY pay_VUJFGXGVHL0061 SETTLEMENT
UTR1273415891,16642.99,2026-08-24,NEFT CR RAZORPAY pay_VUXRTUXJOB0034 SETTLEMENT
UTR6876318865,9569.74,2026-08-14,NEFT CR RAZORPAY pay_ELHSRRGOYU0021 SETTLEMENT
UTR4385401189,41271.97,2026-08-09,NEFT CR RAZORPAY pay_WQXBPNYWIG0048 SETTLEMENT
UTR1922776757,2751.99,2026-08-11,NEFT CR RAZORPAY pay_YIADNTFTZD0063 SETTLEMENT
UTR9862947626,26220.15,2026-08-28,NEFT CR RAZORPAY SETTLEMENT GEORGE
UTR8684247622,38339.69,2026-08-27,NEFT CR RAZORPAY SETTLEMENT HEATHER
UTR2296161333,3250.0,2026-08-25,NEFT CR RAZORPAY pay_DMTGRIBDBF0065 SETTLEMENT
UTR9114307083,23669.7,2026-08-21,NEFT CR RAZORPAY pay_QQUZZTZVCZ0016 SETTLEMENT
UTR7450834621,3753.22,2026-08-12,NEFT CR UNKNOWN SOURCE
UTR6968175943,4503.8,2026-08-15,NEFT CR RAZORPAY SETTLEMENT BRENDA
UTR2201365588,34654.49,2026-08-14,NEFT CR RAZORPAY pay_WUSEMHCJNW0049 SETTLEMENT
UTR3546023525,36824.91,2026-08-22,NEFT CR RAZORPAY pay_VWPAUPVFJO0014 SETTLEMENT
UTR8124507798,12083.57,2026-08-11,NEFT CR RAZORPAY pay_TUEIOUGUUM0017 SETTLEMENT
UTR1633630259,20367.95,2026-08-21,NEFT CR RAZORPAY pay_GQNGAYFCCN0022 SETTLEMENT
UTR6711686861,5875.61,2026-08-13,NEFT CR RAZORPAY pay_NNNHSLTCFA0039 SETTLEMENT DUP
UTR4694498980,5551.64,2026-08-20,NEFT CR RAZORPAY pay_BJLNCCXWPW0043 SETTLEMENT
UTR2857756196,26045.28,2026-08-20,NEFT CR RAZORPAY pay_GVZMGLWZTM0044 SETTLEMENT
